,0
1388,28
1389,43
1390,27
1391,40
1392,43
1393,43
1394,51
1395,48
1396,51
1397,22
1398,52
1399,55
1400,37
1401,44
1402,57
1403,51
1404,51
1405,50
1406,39
1407,43
1408,40
1409,51
1410,56
1411,59
1412,43
1413,40
1414,62
1415,79
1416,57
1417,56
1418,49
1419,39
1420,47
1421,42
1422,60
1423,61
1424,56
1425,47
1426,45
1427,34
1428,38
1429,55
1430,63
1431,33
1432,47
1433,47
1434,38
1435,51
1436,55
1437,57
1438,59
1439,58
1440,44
1441,58
1442,29
1443,53
1444,51
1445,51
1446,47
1447,66
1448,68
1449,51
1450,60
1451,57
1452,44
1453,56
1454,39
1455,44
1456,45
1457,55
1458,60
1459,66
1460,46
1461,57
1462,29
1463,33
1464,47
1465,33
1466,46
1467,51
1468,45
1469,67
1470,42
1471,35
1472,57
1473,48
1474,42
1475,37
1476,46
1477,60
1478,50
1479,60
1480,61
1481,72
1482,49
1483,32
1484,52
1485,59
1486,54
1487,49
1488,70
1489,68
1490,32
1491,55
1492,45
1493,40
1494,51
1495,60
1496,59
1497,64
1498,50
1499,41
1500,77
1501,44
1502,62
1503,41
1504,27
1505,59
1506,44
1507,59
1508,8
1509,9
1510,41
1511,62
1512,30
1513,46
1514,52
1515,49
1516,42
1517,68
1518,49
1519,46
1520,32
1521,44
1522,54
1523,55
1524,41
1525,42
1526,45
1527,53
1528,51
1529,37
1530,23
1531,35
1532,2
1533,3
1534,53
1535,48
1536,54
1537,53
1538,59
1539,33
1540,36
1541,34
1542,50
1543,40
1544,40
1545,52
1546,60
1547,69
1548,42
1549,39
1550,38
1551,34
1552,59
1553,35
1554,7
1555,11
1556,41
1557,41
1558,42
1559,36
1560,38
1561,50
1562,57
1563,59
1564,46
1565,60
1566,48
1567,56
1568,63
1569,43
1570,57
1571,31
1572,52
1573,54
1574,58
1575,45
1576,51
1577,41
1578,25
1579,47
1580,36
1581,26
1582,26
1583,36
1584,46
1585,44
1586,47
1587,43
1588,44
1589,40
1590,47
1591,50
1592,57
1593,56
1594,33
1595,51
1596,39
1597,41
1598,52
1599,47
1600,48
1601,58
1602,2
1603,3
1604,43
1605,51
1606,5
1607,5
1608,11
1609,15
1610,43
1611,31
1612,53
1613,57
1614,17
1615,44
1616,47
1617,58
1618,24
1619,52
1620,36
1621,36
1622,47
1623,52
1624,59
1625,55
1626,46
1627,48
1628,54
1629,36
1630,77
1631,54
1632,54
1633,45
1634,48
1635,44
1636,53
1637,66
1638,30
1639,58
1640,40
1641,53
1642,53
1643,57
1644,55
1645,41
1646,22
1647,38
1648,48
1649,56
1650,63
1651,32
1652,32
1653,48
1654,65
1655,49
1656,41
1657,61
1658,41
1659,46
1660,33
1661,65
1662,50
1663,35
1664,26
1665,32
1666,46
1667,45
1668,55
1669,39
1670,32
1671,55
1672,54
1673,45
1674,32
1675,59
1676,21
1677,45
1678,25
1679,50
1680,51
1681,65
1682,51
1683,56
1684,37
1685,42
1686,36
1687,43
1688,39
1689,50
1690,47
1691,49
1692,45
1693,67
1694,49
1695,36
1696,49
1697,58
1698,42
1699,57
1700,39
1701,63
