,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
42,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,V Kohli,_,_,_,_,_,_,DP Vijaykumar,RP Singh,SB Styris,Shahid Afridi,_,_
43,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,_,_,_
44,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,_,_,_,Sohail Tanvir,SR Watson,MM Patel,SK Trivedi,_,_
45,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,GC Smith,SA Asnodkar,_,_,_,_,_,_,_,M Ntini,MS Gony,_,_,_,_
46,Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,YV Takawale,ST Jayasuriya,DJ Thornely,_,_,_,_,_,_,GD McGrath,Mohammad Asif,VY Mahesh,_,_,_
47,Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,_,_,_,_,_,SM Pollock,A Nehra,DJ Bravo,_,_,_
48,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,W Jaffer,V Kohli,CL White,JH Kallis,R Dravid,_,_,_,_,S Sreesanth,IK Pathan,Gagandeep Singh,_,_,_
49,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,SE Marsh,JR Hopes,RR Sarwan,_,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,JH Kallis,_,_
50,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,PA Patel,SP Fleming,S Anirudha,SK Raina,S Badrinath,_,_,_,_,DP Vijaykumar,RP Singh,SB Styris,_,_,_
51,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,AC Gilchrist,HH Gibbs,SB Styris,_,_,_,_,_,_,M Ntini,MS Gony,JA Morkel,_,_,_
52,Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,GC Smith,SA Asnodkar,YK Pathan,SR Watson,_,_,_,_,_,SM Pollock,A Nehra,DS Kulkarni,_,_,_
53,Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,YV Takawale,ST Jayasuriya,_,_,_,_,_,_,_,Sohail Tanvir,MM Patel,SK Trivedi,_,_,_
54,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,G Gambhir,V Sehwag,AB de Villiers,S Dhawan,_,_,_,_,_,MS Gony,JA Morkel,_,_,_,_
55,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,S Vidyut,SP Fleming,_,_,_,_,_,_,_,GD McGrath,Mohammad Asif,VY Mahesh,PJ Sangwan,_,_
56,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,A Chopra,BJ Hodge,SC Ganguly,DJ Hussey,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,R Vinay Kumar,_,_
57,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,J Arunkumar,S Chanderpaul,MV Boucher,R Dravid,_,_,_,_,_,AB Dinda,I Sharma,Umar Gul,SC Ganguly,_,_
58,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,AC Gilchrist,HH Gibbs,_,_,_,_,_,_,_,Sohail Tanvir,SR Watson,MM Patel,_,_,_
59,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,GC Smith,YK Pathan,_,_,_,_,_,_,_,DP Vijaykumar,RP Singh,SB Styris,PP Ojha,_,_
60,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,S Vidyut,SP Fleming,SK Raina,S Badrinath,_,_,_,_,_,S Sreesanth,IK Pathan,VRV Singh,_,_,_
61,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,SE Marsh,JR Hopes,K Goel,RR Sarwan,_,_,_,_,_,MS Gony,JA Morkel,_,_,_,_
62,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,Salman Butt,A Chopra,SC Ganguly,_,_,_,_,_,_,WPUJC Vaas,DP Vijaykumar,SB Styris,RP Singh,_,_
63,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,AC Gilchrist,HH Gibbs,DB Ravi Teja,RG Sharma,SB Styris,_,_,_,_,AB Dinda,I Sharma,Umar Gul,_,_,_
64,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,G Gambhir,V Sehwag,_,_,_,_,_,_,_,AD Mascarenhas,SR Watson,MM Patel,_,_,_
65,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,YK Pathan,GC Smith,M Kaif,SR Watson,_,_,_,_,_,GD McGrath,MF Maharoof,PJ Sangwan,_,_,_
66,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,J Arunkumar,V Kohli,Misbah-ul-Haq,CL White,R Dravid,_,_,_,_,S Sreesanth,IK Pathan,PP Chawla,_,_,_
67,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,SE Marsh,JR Hopes,_,_,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,_,_,_
68,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,Salman Butt,A Chopra,_,_,_,_,_,_,_,GD McGrath,PJ Sangwan,VY Mahesh,_,_,_
69,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,G Gambhir,V Sehwag,AB de Villiers,MK Tiwary,S Dhawan,TM Dilshan,_,_,_,Shoaib Akhtar,I Sharma,AB Dinda,_,_,_
70,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,S Vidyut,SP Fleming,SK Raina,S Badrinath,_,_,_,_,_,SM Pollock,A Nehra,DJ Bravo,_,_,_
71,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,ST Jayasuriya,SR Tendulkar,_,_,_,_,_,_,_,MS Gony,JA Morkel,_,_,_,_
72,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,G Gambhir,V Sehwag,S Dhawan,_,_,_,_,_,_,DP Vijaykumar,RP Singh,PM Sarvesh Kumar,_,_,_
73,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,AC Gilchrist,Shahid Afridi,HH Gibbs,_,_,_,_,_,_,GD McGrath,Mohammad Asif,MF Maharoof,_,_,_
74,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,Mohammad Hafeez,_,_,_,_,SM Pollock,A Nehra,DJ Bravo,_,_,_
75,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,_,_,_,_,_,Shoaib Akhtar,I Sharma,AB Agarkar,_,_,_
76,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,GC Smith,SA Asnodkar,_,_,_,_,_,_,_,Z Khan,P Kumar,JH Kallis,_,_,_
77,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,J Arunkumar,V Kohli,Misbah-ul-Haq,JH Kallis,CL White,_,_,_,_,Sohail Tanvir,MM Patel,_,_,_,_
78,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,G Gambhir,V Sehwag,_,_,_,_,_,_,_,S Sreesanth,IK Pathan,VRV Singh,_,_,_
79,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,DPMD Jayawardene,_,_,_,_,GD McGrath,PJ Sangwan,A Mishra,V Sehwag,_,_
80,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,ST Jayasuriya,SR Tendulkar,DJ Thornely,_,_,_,_,_,_,DP Vijaykumar,DNT Zoysa,Y Venugopal Rao,RP Singh,_,_
81,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,AC Gilchrist,Shahid Afridi,RG Sharma,LPC Silva,Y Venugopal Rao,_,_,_,_,A Nehra,DJ Bravo,CRD Fernando,RR Raje,_,_
82,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,Salman Butt,Mohammad Hafeez,SC Ganguly,DB Das,_,_,_,_,_,M Ntini,MS Gony,_,_,_,_
83,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,PA Patel,SP Fleming,_,_,_,_,_,_,_,Shoaib Akhtar,I Sharma,AB Dinda,AB Agarkar,_,_
84,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,JH Kallis,B Chipli,SP Goswami,_,_,_,_,_,_,GD McGrath,PJ Sangwan,VY Mahesh,_,_,_
85,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,G Gambhir,V Sehwag,_,_,_,_,_,_,_,DW Steyn,Z Khan,P Kumar,JH Kallis,_,_
86,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,Salman Butt,Mohammad Hafeez,SC Ganguly,_,_,_,_,_,_,Sohail Tanvir,MM Patel,SR Watson,_,_,_
87,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,GC Smith,SA Asnodkar,Sohail Tanvir,M Kaif,SR Watson,_,_,_,_,AB Dinda,I Sharma,AB Agarkar,Umar Gul,_,_
88,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,SE Marsh,JR Hopes,LA Pomersbach,_,_,_,_,_,_,SM Pollock,A Nehra,VS Yeligati,_,_,_
89,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,ST Jayasuriya,SR Tendulkar,DR Smith,_,_,_,_,_,_,S Sreesanth,IK Pathan,VRV Singh,_,_,_
90,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,JH Kallis,SP Goswami,V Kohli,R Dravid,_,_,_,_,_,M Ntini,MS Gony,_,_,_,_
91,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,PA Patel,SP Fleming,_,_,_,_,_,_,_,DW Steyn,P Kumar,A Kumble,JH Kallis,_,_
92,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,AC Gilchrist,HH Gibbs,_,_,_,_,_,_,_,S Sreesanth,VRV Singh,RR Powar,_,_,_
93,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,SE Marsh,KC Sangakkara,_,_,_,_,_,_,_,RP Singh,DP Vijaykumar,Y Venugopal Rao,SB Styris,_,_
94,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,ST Jayasuriya,SR Tendulkar,_,_,_,_,_,_,_,GD McGrath,B Geeves,MF Maharoof,VY Mahesh,_,_
95,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,_,_,_,_,_,SM Pollock,A Nehra,A Nel,DS Kulkarni,_,_
96,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,GC Smith,SA Asnodkar,_,_,_,_,_,_,_,M Ntini,MS Gony,JA Morkel,_,_,_
97,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,PA Patel,SP Fleming,SK Raina,_,_,_,_,_,_,Sohail Tanvir,YK Pathan,MM Patel,Pankaj Singh,_,_
98,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,AC Gilchrist,HH Gibbs,_,_,_,_,_,_,_,A Kumble,DW Steyn,JH Kallis,_,_,_
99,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,JH Kallis,W Jaffer,Misbah-ul-Haq,_,_,_,_,_,_,WPUJC Vaas,RP Singh,SB Bangar,DP Vijaykumar,_,_
100,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,SE Marsh,JR Hopes,KC Sangakkara,_,_,_,_,_,_,Umar Gul,I Sharma,BAW Mendis,_,_,_
101,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,Salman Butt,SC Ganguly,DB Das,DJ Hussey,_,_,_,_,_,IK Pathan,S Sreesanth,RR Powar,_,_,_
102,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,ST Jayasuriya,SR Tendulkar,_,_,_,_,_,_,_,Sohail Tanvir,SR Watson,Pankaj Singh,YK Pathan,_,_
103,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,Kamran Akmal,SA Asnodkar,YK Pathan,SR Watson,_,_,_,_,_,SM Pollock,A Nehra,CRD Fernando,_,_,_
104,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,AC Gilchrist,HH Gibbs,SB Styris,Y Venugopal Rao,_,_,_,_,_,M Ntini,MS Gony,_,_,_,_
105,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,PA Patel,SP Fleming,SK Raina,_,_,_,_,_,_,RP Singh,DP Vijaykumar,Shahid Afridi,_,_,_
106,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,SP Goswami,Misbah-ul-Haq,_,_,_,_,_,_,SM Pollock,A Nehra,CRD Fernando,_,_,_
107,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,SR Tendulkar,_,_,_,_,_,_,_,A Kumble,DW Steyn,P Kumar,R Vinay Kumar,_,_
108,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,SE Marsh,JR Hopes,_,_,_,_,_,_,_,MM Patel,SR Watson,Pankaj Singh,_,_,_
109,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,M Kaif,Niraj Patel,Younis Khan,SR Watson,_,_,_,_,_,IK Pathan,S Sreesanth,JR Hopes,_,_,_
110,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,GC Smith,SA Asnodkar,_,_,_,_,_,_,_,GD McGrath,Mohammad Asif,VY Mahesh,_,_,_
111,Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,_,_,_,_,Sohail Tanvir,SR Watson,MM Patel,_,_,_
112,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,_,_,_,M Muralitharan,M Ntini,MS Gony,_,_,_
113,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,PA Patel,S Vidyut,SK Raina,_,_,_,_,_,_,IK Pathan,S Sreesanth,RR Powar,VRV Singh,_,_
114,Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,PA Patel,S Vidyut,SK Raina,_,_,_,_,_,_,Sohail Tanvir,SR Watson,MM Patel,YK Pathan,_,_
115,Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,Niraj Patel,SA Asnodkar,Kamran Akmal,_,_,_,_,_,_,M Ntini,MS Gony,_,_,_,_
116,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,JD Ryder,RV Uthappa,LRPL Taylor,KP Pietersen,R Dravid,_,_,_,_,AD Mascarenhas,Kamran Khan,MM Patel,_,_,_
117,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,GC Smith,SA Asnodkar,Niraj Patel,T Henderson,_,_,_,_,_,P Kumar,DW Steyn,R Vinay Kumar,_,_,_
118,Newlands,1,Mumbai Indians,Chennai Super Kings,ST Jayasuriya,SR Tendulkar,S Dhawan,_,_,_,_,_,_,MS Gony,T Thushara,A Flintoff,_,_,_
119,Newlands,2,Chennai Super Kings,Mumbai Indians,PA Patel,ML Hayden,SK Raina,A Flintoff,_,_,_,_,_,SL Malinga,Z Khan,DJ Bravo,_,_,_
120,Newlands,1,Kings XI Punjab,Delhi Daredevils,RS Bopara,K Goel,_,_,_,_,_,_,_,DP Nannes,AM Salvi,PJ Sangwan,VY Mahesh,_,_
121,Newlands,2,Delhi Daredevils,Kings XI Punjab,G Gambhir,V Sehwag,_,_,_,_,_,_,_,IK Pathan,YA Abdulla,VS Malik,VRV Singh,PP Chawla,_
122,Newlands,1,Kolkata Knight Riders,Deccan Chargers,BB McCullum,CH Gayle,SC Ganguly,BJ Hodge,A Chopra,_,_,_,_,FH Edwards,RP Singh,Harmeet Singh,_,_,_
123,Newlands,2,Deccan Chargers,Kolkata Knight Riders,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,_,_,_,_,_,AB Dinda,I Sharma,_,_,_,_
124,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,PA Patel,ML Hayden,_,_,_,_,_,_,_,P Kumar,DW Steyn,JH Kallis,R Vinay Kumar,_,_
125,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,P Kumar,RV Uthappa,JH Kallis,LRPL Taylor,_,_,_,_,_,MS Gony,L Balaji,JA Morkel,_,_,_
126,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,RS Bopara,K Goel,IK Pathan,_,_,_,_,_,_,I Sharma,AB Dinda,MC Henriques,_,_,_
127,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,BB McCullum,CH Gayle,BJ Hodge,_,_,_,_,_,_,IK Pathan,YA Abdulla,VS Malik,_,_,_
128,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,AC Gilchrist,HH Gibbs,VVS Laxman,_,_,_,_,_,_,P Kumar,DW Steyn,JH Kallis,_,_,_
129,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,JD Ryder,RV Uthappa,JH Kallis,KP Pietersen,_,_,_,_,_,FH Edwards,RP Singh,Harmeet Singh,_,_,_
130,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,_,_,_,_,_,L Balaji,MS Gony,JA Morkel,A Flintoff,_,_
131,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,PA Patel,ML Hayden,SK Raina,_,_,_,_,_,_,DP Nannes,A Nehra,AM Salvi,PJ Sangwan,_,_
132,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,GC Smith,PC Valthaty,RJ Quiney,YK Pathan,_,_,_,_,_,I Sharma,Anureet Singh,AB Agarkar,_,_,_
