,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Score
20,16,1,7,0,474,83,435,572,137,-1,-1,-1,-1,213,332,364,-1,-1,-1,61
21,16,2,0,7,377,322,-1,-1,-1,-1,-1,-1,-1,24,193,22,-1,-1,-1,45
22,15,1,14,11,447,398,283,217,-1,-1,-1,-1,-1,501,527,324,-1,-1,-1,57
23,15,2,11,14,170,296,582,501,-1,-1,-1,-1,-1,369,588,407,-1,-1,-1,45
24,5,1,8,1,274,509,44,437,490,-1,-1,-1,-1,424,147,469,518,-1,-1,27
25,5,2,1,8,28,566,-1,-1,-1,-1,-1,-1,-1,10,490,155,509,476,-1,60
26,22,1,3,5,168,559,448,525,-1,-1,-1,-1,-1,77,196,462,563,-1,-1,45
27,22,2,5,3,237,489,248,150,-1,-1,-1,-1,-1,172,339,310,-1,-1,-1,55
28,15,1,0,14,377,322,309,-1,-1,-1,-1,-1,-1,159,588,369,-1,-1,-1,36
29,15,2,14,0,73,569,283,-1,-1,-1,-1,-1,-1,213,332,-1,-1,-1,-1,45
30,8,1,7,8,83,474,435,130,137,-1,-1,-1,-1,490,10,118,155,134,-1,40
31,8,2,8,7,44,509,320,437,134,-1,-1,-1,-1,22,193,24,-1,-1,-1,38
32,9,1,3,14,168,559,448,-1,-1,-1,-1,-1,-1,159,588,369,-1,-1,-1,58
33,9,2,14,3,369,569,283,217,398,-1,-1,-1,-1,172,339,567,-1,-1,-1,55
34,26,1,11,7,170,467,287,-1,-1,-1,-1,-1,-1,24,193,22,556,-1,-1,45
35,26,2,7,11,515,474,22,89,-1,-1,-1,-1,-1,501,527,483,-1,-1,-1,51
36,23,1,1,5,28,566,183,-1,-1,-1,-1,-1,-1,462,196,563,-1,-1,-1,50
37,23,2,5,1,479,431,-1,-1,-1,-1,-1,-1,-1,424,147,518,469,-1,-1,41
38,16,1,0,3,377,495,465,-1,-1,-1,-1,-1,-1,172,339,567,382,-1,-1,47
39,16,2,3,0,168,559,-1,-1,-1,-1,-1,-1,-1,294,332,208,-1,-1,-1,64
40,22,1,5,7,479,231,248,-1,-1,-1,-1,-1,-1,193,22,24,-1,-1,-1,49
41,22,2,7,5,340,474,130,89,137,282,-1,-1,-1,462,196,-1,-1,-1,-1,31
42,15,1,14,1,73,569,557,-1,-1,-1,-1,-1,-1,149,424,472,518,-1,-1,46
43,15,2,1,14,28,566,183,416,-1,-1,-1,-1,-1,159,588,369,-1,-1,-1,33
44,26,1,0,11,377,495,465,482,446,331,-1,-1,-1,527,501,324,483,-1,-1,38
45,26,2,11,0,170,467,-1,-1,-1,-1,-1,-1,-1,294,332,-1,-1,-1,-1,44
46,5,1,8,3,584,509,140,-1,-1,-1,-1,-1,-1,172,339,567,-1,-1,-1,50
47,5,2,3,8,168,559,448,26,-1,-1,-1,-1,-1,490,10,134,-1,-1,-1,37
48,15,1,14,5,569,557,114,217,398,-1,-1,-1,-1,462,196,178,-1,-1,-1,26
49,15,2,5,14,479,231,431,-1,-1,-1,-1,-1,-1,159,588,369,217,-1,-1,52
50,16,1,0,1,377,495,443,482,446,-1,-1,-1,-1,149,424,472,-1,-1,-1,34
51,16,2,1,0,28,183,472,-1,-1,-1,-1,-1,-1,294,332,208,-1,-1,-1,50
52,5,1,11,8,170,467,582,501,-1,-1,-1,-1,-1,490,10,155,-1,-1,-1,48
53,5,2,8,11,584,509,-1,-1,-1,-1,-1,-1,-1,527,324,483,-1,-1,-1,34
54,9,1,3,0,168,559,26,448,-1,-1,-1,-1,-1,332,208,-1,-1,-1,-1,50
55,9,2,0,3,465,495,-1,-1,-1,-1,-1,-1,-1,172,339,567,382,-1,-1,62
56,8,1,7,14,2,89,474,137,-1,-1,-1,-1,-1,159,588,369,407,-1,-1,41
57,8,2,14,7,202,447,334,398,-1,-1,-1,-1,-1,24,193,556,474,-1,-1,35
58,26,1,1,11,28,183,-1,-1,-1,-1,-1,-1,-1,527,501,324,-1,-1,-1,50
59,26,2,11,1,170,582,-1,-1,-1,-1,-1,-1,-1,149,424,472,386,-1,-1,50
60,16,1,0,5,465,495,482,446,-1,-1,-1,-1,-1,462,196,563,-1,-1,-1,53
61,16,2,5,0,479,231,237,431,-1,-1,-1,-1,-1,332,208,-1,-1,-1,-1,35
62,23,1,7,1,515,2,474,-1,-1,-1,-1,-1,-1,573,149,472,424,-1,-1,43
63,23,2,1,7,28,183,131,416,472,-1,-1,-1,-1,24,193,556,-1,-1,-1,55
64,26,1,3,11,168,559,-1,-1,-1,-1,-1,-1,-1,32,501,324,-1,-1,-1,47
65,26,2,11,3,582,170,287,501,-1,-1,-1,-1,-1,172,310,382,-1,-1,-1,21
66,22,1,14,5,202,557,337,114,398,-1,-1,-1,-1,462,196,385,-1,-1,-1,50
67,22,2,5,14,479,231,-1,-1,-1,-1,-1,-1,-1,159,588,369,-1,-1,-1,42
68,8,1,7,3,515,2,-1,-1,-1,-1,-1,-1,-1,172,382,567,-1,-1,-1,35
69,8,2,3,7,168,559,26,321,448,543,-1,-1,-1,524,193,24,-1,-1,-1,37
70,34,1,0,8,465,495,482,446,-1,-1,-1,-1,-1,490,10,134,-1,-1,-1,28
71,34,2,8,0,509,500,-1,-1,-1,-1,-1,-1,-1,332,208,-1,-1,-1,-1,78
72,9,1,3,1,168,559,448,-1,-1,-1,-1,-1,-1,149,424,384,-1,-1,-1,48
73,9,2,1,3,28,518,183,-1,-1,-1,-1,-1,-1,172,339,310,-1,-1,-1,71
74,34,1,7,8,515,2,474,137,340,-1,-1,-1,-1,490,10,134,-1,-1,-1,27
75,34,2,8,7,509,500,437,140,-1,-1,-1,-1,-1,524,193,22,-1,-1,-1,68
76,26,1,11,14,170,467,-1,-1,-1,-1,-1,-1,-1,588,369,217,-1,-1,-1,51
77,26,2,14,11,202,557,337,217,114,-1,-1,-1,-1,527,324,-1,-1,-1,-1,23
78,9,1,3,5,168,559,-1,-1,-1,-1,-1,-1,-1,462,196,563,-1,-1,-1,68
79,9,2,5,3,479,231,587,276,150,-1,-1,-1,-1,172,382,7,559,-1,-1,73
80,23,1,8,1,509,500,140,-1,-1,-1,-1,-1,-1,149,147,579,424,-1,-1,57
81,23,2,1,8,28,518,416,281,579,-1,-1,-1,-1,10,134,118,429,-1,-1,32
82,8,1,7,0,515,340,474,130,-1,-1,-1,-1,-1,294,332,-1,-1,-1,-1,35
83,8,2,0,7,377,495,-1,-1,-1,-1,-1,-1,-1,524,193,24,22,-1,-1,43
84,15,1,14,3,217,73,496,-1,-1,-1,-1,-1,-1,172,382,567,-1,-1,-1,41
85,15,2,3,14,168,559,-1,-1,-1,-1,-1,-1,-1,159,588,369,217,-1,-1,71
86,8,1,7,11,515,340,474,-1,-1,-1,-1,-1,-1,527,324,501,-1,-1,-1,32
87,8,2,11,7,170,467,527,287,501,-1,-1,-1,-1,24,193,22,556,-1,-1,42
88,34,1,5,8,479,231,276,-1,-1,-1,-1,-1,-1,490,10,565,-1,-1,-1,43
89,34,2,8,5,509,500,154,-1,-1,-1,-1,-1,-1,462,196,563,-1,-1,-1,68
90,16,1,14,0,217,496,557,398,-1,-1,-1,-1,-1,294,332,-1,-1,-1,-1,23
91,16,2,0,14,377,495,-1,-1,-1,-1,-1,-1,-1,159,369,6,217,-1,-1,44
92,22,1,1,5,28,183,-1,-1,-1,-1,-1,-1,-1,462,563,428,-1,-1,-1,42
93,22,2,5,1,479,248,-1,-1,-1,-1,-1,-1,-1,424,149,579,472,-1,-1,74
94,9,1,8,3,509,500,-1,-1,-1,-1,-1,-1,-1,172,74,310,567,-1,-1,60
95,9,2,3,8,168,559,448,321,-1,-1,-1,-1,-1,490,10,11,155,-1,-1,56
96,16,1,11,0,170,467,-1,-1,-1,-1,-1,-1,-1,294,332,208,-1,-1,-1,67
97,16,2,0,11,377,495,482,-1,-1,-1,-1,-1,-1,527,582,324,391,-1,-1,65
98,23,1,1,14,28,183,-1,-1,-1,-1,-1,-1,-1,6,159,217,-1,-1,-1,41
99,23,2,14,1,217,569,337,-1,-1,-1,-1,-1,-1,573,424,469,149,-1,-1,43
100,8,1,5,7,479,231,248,-1,-1,-1,-1,-1,-1,556,193,82,-1,-1,-1,47
101,8,2,7,5,515,474,130,137,-1,-1,-1,-1,-1,196,462,428,-1,-1,-1,51
102,26,1,8,11,509,500,-1,-1,-1,-1,-1,-1,-1,527,501,391,582,-1,-1,29
103,26,2,11,8,266,467,582,501,-1,-1,-1,-1,-1,490,10,118,-1,-1,-1,36
104,23,1,1,0,28,183,472,579,-1,-1,-1,-1,-1,294,332,-1,-1,-1,-1,26
105,23,2,0,1,377,495,482,-1,-1,-1,-1,-1,-1,424,149,518,-1,-1,-1,44
106,15,1,14,8,334,496,337,-1,-1,-1,-1,-1,-1,490,10,118,-1,-1,-1,36
107,15,2,8,14,509,500,-1,-1,-1,-1,-1,-1,-1,6,159,369,407,-1,-1,39
108,22,1,5,11,479,231,-1,-1,-1,-1,-1,-1,-1,324,501,391,-1,-1,-1,51
109,22,2,11,5,287,361,586,501,-1,-1,-1,-1,-1,196,462,231,-1,-1,-1,38
110,34,1,11,3,170,467,-1,-1,-1,-1,-1,-1,-1,172,339,567,-1,-1,-1,58
111,34,2,3,11,168,559,448,321,543,-1,-1,-1,-1,527,501,324,-1,-1,-1,28
112,34,1,5,0,479,231,248,587,150,196,-1,-1,-1,293,294,332,-1,-1,-1,35
113,34,2,0,5,377,465,482,-1,-1,-1,-1,-1,-1,196,462,428,563,-1,-1,35
114,5,1,0,11,377,465,482,-1,-1,-1,-1,-1,-1,527,501,324,582,-1,-1,42
115,5,2,11,0,361,467,266,-1,-1,-1,-1,-1,-1,294,332,-1,-1,-1,-1,41
116,20,1,14,11,211,437,283,262,398,-1,-1,-1,-1,32,267,324,-1,-1,-1,29
117,20,2,11,14,170,467,361,532,-1,-1,-1,-1,-1,369,159,407,-1,-1,-1,14
118,20,1,8,0,509,500,448,-1,-1,-1,-1,-1,-1,332,537,5,-1,-1,-1,40
119,20,2,0,8,377,322,482,5,-1,-1,-1,-1,-1,485,588,134,-1,-1,-1,40
120,20,1,5,3,432,237,-1,-1,-1,-1,-1,-1,-1,148,45,382,567,-1,-1,67
121,20,2,3,5,168,559,-1,-1,-1,-1,-1,-1,-1,196,580,564,563,385,-1,58
122,20,1,7,1,83,104,474,89,2,-1,-1,-1,-1,165,424,188,-1,-1,-1,21
123,20,2,1,7,28,183,566,416,-1,-1,-1,-1,-1,24,193,-1,-1,-1,-1,37
124,30,1,0,14,377,322,-1,-1,-1,-1,-1,-1,-1,369,159,217,407,-1,-1,68
125,30,2,14,0,369,437,217,283,-1,-1,-1,-1,-1,332,272,208,-1,-1,-1,46
126,14,1,5,7,432,237,196,-1,-1,-1,-1,-1,-1,193,24,305,-1,-1,-1,46
127,14,2,7,5,83,104,89,-1,-1,-1,-1,-1,-1,196,580,564,-1,-1,-1,60
128,20,1,1,14,28,183,566,-1,-1,-1,-1,-1,-1,369,159,217,-1,-1,-1,62
129,20,2,14,1,211,437,217,262,-1,-1,-1,-1,-1,165,424,188,-1,-1,-1,31
130,14,1,3,0,168,559,26,543,-1,-1,-1,-1,-1,272,332,208,5,-1,-1,59
131,14,2,0,3,377,322,482,-1,-1,-1,-1,-1,-1,148,10,45,382,-1,-1,61
132,20,1,11,7,170,379,419,582,-1,-1,-1,-1,-1,193,68,22,-1,-1,-1,54
133,20,2,7,11,104,83,282,-1,-1,-1,-1,-1,-1,582,32,-1,-1,-1,-1,38
134,20,3,7,11,104,83,-1,-1,-1,-1,-1,-1,-1,267,-1,-1,-1,-1,-1,15
135,20,4,11,7,582,32,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,18
136,14,1,14,5,211,437,217,262,398,-1,-1,-1,-1,426,196,580,-1,-1,-1,49
137,14,2,5,14,432,237,-1,-1,-1,-1,-1,-1,-1,369,391,217,407,-1,-1,44
138,14,1,1,8,28,183,-1,-1,-1,-1,-1,-1,-1,485,588,134,187,-1,-1,55
139,14,2,8,1,509,500,227,-1,-1,-1,-1,-1,-1,165,424,188,-1,-1,-1,50
140,30,1,14,3,217,437,262,283,-1,-1,-1,-1,-1,148,10,382,-1,-1,-1,45
141,30,2,3,14,168,559,543,26,-1,-1,-1,-1,-1,407,391,217,-1,-1,-1,43
142,20,1,5,11,432,237,248,587,-1,-1,-1,-1,-1,267,32,324,582,-1,-1,38
143,20,2,11,5,467,170,419,582,32,408,-1,-1,-1,428,196,580,563,-1,-1,32
144,14,1,0,1,377,322,482,-1,-1,-1,-1,-1,-1,165,424,154,579,-1,-1,62
145,14,2,1,0,28,183,566,-1,-1,-1,-1,-1,-1,272,332,208,293,482,-1,69
146,30,1,8,7,509,500,-1,-1,-1,-1,-1,-1,-1,193,24,474,-1,-1,-1,61
147,30,2,7,8,83,104,89,474,-1,-1,-1,-1,-1,588,485,134,187,-1,-1,47
148,32,1,3,11,168,559,26,543,249,-1,-1,-1,-1,32,267,324,-1,-1,-1,42
149,32,2,11,3,419,170,467,379,-1,-1,-1,-1,-1,148,10,382,-1,-1,-1,33
150,14,1,7,14,83,104,89,474,-1,-1,-1,-1,-1,262,414,391,369,6,-1,45
151,14,2,14,7,217,496,-1,-1,-1,-1,-1,-1,-1,193,22,288,104,-1,-1,46
152,14,1,5,8,432,237,248,587,-1,-1,-1,-1,-1,588,485,187,134,-1,-1,26
153,14,2,8,5,509,500,448,227,134,-1,-1,-1,-1,196,564,428,580,-1,-1,23
154,32,1,0,11,377,322,482,446,-1,-1,-1,-1,-1,32,582,-1,-1,-1,-1,40
155,32,2,11,0,419,170,467,408,-1,-1,-1,-1,-1,464,208,213,-1,-1,-1,38
156,32,1,1,3,28,183,17,416,-1,-1,-1,-1,-1,148,10,382,-1,-1,-1,37
157,32,2,3,1,168,559,26,543,-1,-1,-1,-1,-1,165,424,523,-1,-1,-1,41
158,3,1,8,7,509,500,187,43,-1,-1,-1,-1,-1,193,24,282,288,-1,-1,40
159,3,2,7,8,104,474,89,327,-1,-1,-1,-1,-1,588,176,187,485,-1,-1,26
160,14,1,14,5,211,496,396,217,-1,-1,-1,-1,-1,196,564,580,-1,-1,-1,38
161,14,2,5,14,587,237,-1,-1,-1,-1,-1,-1,-1,369,217,211,-1,-1,-1,35
162,19,1,0,3,297,322,482,446,-1,-1,-1,-1,-1,148,10,382,-1,-1,-1,53
163,19,2,3,0,168,128,26,543,-1,-1,-1,-1,-1,208,464,-1,-1,-1,-1,49
164,30,1,1,11,183,28,17,416,-1,-1,-1,-1,-1,582,324,408,488,-1,-1,39
165,30,2,11,1,170,467,275,360,408,-1,-1,-1,-1,165,424,154,-1,-1,-1,30
166,30,1,7,5,83,104,89,-1,-1,-1,-1,-1,-1,428,196,580,564,-1,-1,28
167,30,2,5,7,461,248,489,150,-1,-1,-1,-1,-1,193,24,104,22,-1,-1,51
168,19,1,8,14,509,500,44,227,134,-1,-1,-1,-1,369,217,126,-1,-1,-1,25
169,19,2,14,8,217,569,437,-1,-1,-1,-1,-1,-1,588,134,485,43,-1,-1,51
170,3,1,0,1,297,322,-1,-1,-1,-1,-1,-1,-1,417,424,154,416,-1,-1,53
171,3,2,1,0,28,183,566,416,154,-1,-1,-1,-1,208,464,272,-1,-1,-1,52
172,14,1,11,5,360,170,-1,-1,-1,-1,-1,-1,-1,428,196,462,580,-1,-1,57
173,14,2,5,11,461,248,237,489,150,-1,-1,-1,-1,13,488,582,483,-1,-1,29
174,14,1,7,3,327,83,-1,-1,-1,-1,-1,-1,-1,148,10,7,382,-1,-1,54
175,14,2,3,7,168,128,-1,-1,-1,-1,-1,-1,-1,193,24,305,89,-1,-1,57
176,32,1,1,8,28,183,542,416,-1,-1,-1,-1,-1,485,155,187,134,-1,-1,37
177,32,2,8,1,509,500,388,227,-1,-1,-1,-1,-1,417,424,188,154,-1,-1,41
178,32,1,14,11,217,569,437,398,557,-1,-1,-1,-1,13,292,324,275,-1,-1,29
179,32,2,11,14,170,360,275,-1,-1,-1,-1,-1,-1,369,217,126,-1,-1,-1,31
180,32,1,0,5,446,322,482,-1,-1,-1,-1,-1,-1,196,462,580,563,-1,-1,57
181,32,2,5,0,461,489,237,-1,-1,-1,-1,-1,-1,208,464,332,293,-1,-1,53
182,3,1,8,3,274,227,388,500,-1,-1,-1,-1,-1,148,10,382,-1,-1,-1,30
183,3,2,3,8,168,128,-1,-1,-1,-1,-1,-1,-1,485,155,-1,-1,-1,-1,36
184,4,1,11,0,170,360,467,-1,-1,-1,-1,-1,-1,208,464,272,213,-1,-1,34
185,4,2,0,11,297,322,482,-1,-1,-1,-1,-1,-1,582,13,483,488,-1,-1,37
186,4,1,1,5,28,183,542,-1,-1,-1,-1,-1,-1,77,196,462,-1,-1,-1,52
187,4,2,5,1,461,489,248,587,-1,-1,-1,-1,-1,417,424,523,416,579,-1,45
188,19,1,7,3,83,474,89,327,585,-1,-1,-1,-1,10,148,382,-1,-1,-1,37
189,19,2,3,7,168,128,-1,-1,-1,-1,-1,-1,-1,193,305,22,506,89,-1,47
190,30,1,8,14,509,500,44,-1,-1,-1,-1,-1,-1,217,407,8,-1,-1,-1,46
191,30,2,14,8,217,557,437,283,-1,-1,-1,-1,-1,155,485,134,-1,-1,-1,39
192,4,1,1,11,542,28,416,14,-1,-1,-1,-1,-1,292,324,582,483,-1,-1,42
193,4,2,11,1,170,467,275,360,-1,-1,-1,-1,-1,424,573,14,-1,-1,-1,30
194,32,1,5,8,461,489,196,248,587,-1,-1,-1,-1,485,155,134,-1,-1,-1,51
195,32,2,8,5,509,134,44,500,-1,-1,-1,-1,-1,77,196,462,385,-1,-1,42
196,32,1,7,14,83,474,47,137,-1,-1,-1,-1,-1,407,217,-1,-1,-1,-1,38
197,32,2,14,7,211,217,-1,-1,-1,-1,-1,-1,-1,193,82,22,33,137,-1,46
198,14,1,3,1,168,128,543,-1,-1,-1,-1,-1,-1,424,573,14,523,-1,-1,56
199,14,2,1,3,542,28,416,131,-1,-1,-1,-1,-1,10,148,382,-1,-1,-1,50
200,14,1,11,8,419,170,-1,-1,-1,-1,-1,-1,-1,155,485,134,227,-1,-1,42
201,14,2,8,11,134,584,44,509,500,-1,-1,-1,-1,582,324,483,484,-1,-1,26
202,14,1,0,14,297,322,482,331,-1,-1,-1,-1,-1,6,407,369,217,-1,-1,52
203,14,2,14,0,437,217,398,283,557,-1,-1,-1,-1,208,464,272,-1,-1,-1,33
204,21,1,3,5,168,559,543,26,-1,-1,-1,-1,-1,77,196,385,462,-1,-1,38
205,21,2,5,3,461,489,276,587,248,-1,-1,-1,-1,10,382,310,-1,-1,-1,37
206,30,1,8,0,509,134,227,-1,-1,-1,-1,-1,-1,208,464,-1,-1,-1,-1,49
207,30,2,0,8,377,322,482,446,-1,-1,-1,-1,-1,485,155,134,-1,-1,-1,35
208,19,1,7,1,83,474,89,-1,-1,-1,-1,-1,-1,417,424,14,-1,-1,-1,31
209,19,2,1,7,28,183,-1,-1,-1,-1,-1,-1,-1,193,336,288,89,-1,-1,50
210,21,1,3,11,168,559,26,543,-1,-1,-1,-1,-1,324,13,483,-1,-1,-1,35
211,21,2,11,3,419,170,360,203,-1,-1,-1,-1,-1,10,148,45,310,-1,-1,24
212,19,1,5,1,461,489,276,587,248,-1,-1,-1,-1,417,424,14,-1,-1,-1,39
213,19,2,1,5,28,183,542,14,-1,-1,-1,-1,-1,77,196,462,428,-1,-1,46
214,32,1,0,7,377,174,-1,-1,-1,-1,-1,-1,-1,24,68,22,288,89,-1,54
215,32,2,7,0,83,474,89,-1,-1,-1,-1,-1,-1,208,464,293,-1,-1,-1,56
216,19,1,3,14,168,559,290,26,-1,-1,-1,-1,-1,369,217,72,-1,-1,-1,37
217,19,2,14,3,437,217,398,-1,-1,-1,-1,-1,-1,10,45,310,-1,-1,-1,27
218,14,1,11,7,360,419,467,361,203,582,-1,-1,-1,89,113,24,22,-1,-1,46
219,14,2,7,11,83,474,89,585,137,-1,-1,-1,-1,324,13,-1,-1,-1,-1,29
220,14,1,0,5,174,377,482,-1,-1,-1,-1,-1,-1,77,196,428,462,-1,-1,50
221,14,2,5,0,461,489,276,-1,-1,-1,-1,-1,-1,332,537,293,394,-1,-1,29
222,32,1,14,1,217,320,414,-1,-1,-1,-1,-1,-1,417,424,14,-1,-1,-1,33
223,32,2,1,14,28,183,-1,-1,-1,-1,-1,-1,-1,6,217,369,414,-1,-1,64
224,32,1,8,3,509,500,227,338,44,-1,-1,-1,-1,148,45,382,-1,-1,-1,30
225,32,2,3,8,168,128,559,-1,-1,-1,-1,-1,-1,485,155,409,-1,-1,-1,60
226,32,1,3,1,168,128,559,543,-1,-1,-1,-1,-1,417,424,386,-1,-1,-1,49
227,32,2,1,3,28,183,17,-1,-1,-1,-1,-1,-1,148,10,382,543,559,-1,84
228,19,1,0,14,377,322,-1,-1,-1,-1,-1,-1,-1,369,217,407,6,-1,-1,52
229,19,2,14,0,217,320,414,398,-1,-1,-1,-1,-1,208,332,470,-1,-1,-1,59
230,19,1,1,14,28,183,542,14,-1,-1,-1,-1,-1,6,369,217,407,-1,-1,31
231,19,2,14,1,217,320,414,-1,-1,-1,-1,-1,-1,417,424,14,-1,-1,-1,36
232,5,1,7,1,321,89,474,103,363,33,-1,-1,-1,573,424,234,-1,-1,-1,38
233,5,2,1,7,28,566,183,-1,-1,-1,-1,-1,-1,113,193,282,288,-1,-1,62
234,22,1,5,3,432,330,248,587,-1,-1,-1,-1,-1,148,310,382,-1,-1,-1,44
235,22,2,3,5,168,559,543,26,-1,-1,-1,-1,-1,196,462,-1,-1,-1,-1,39
236,2,1,8,11,509,500,50,-1,-1,-1,-1,-1,-1,32,513,267,15,-1,-1,69
237,2,2,11,8,170,467,360,19,-1,-1,-1,-1,-1,588,399,485,37,-1,-1,39
238,16,1,1,0,28,566,183,14,-1,-1,-1,-1,-1,208,464,293,394,-1,-1,57
239,16,2,0,1,297,322,482,446,224,331,-1,-1,-1,573,416,424,386,-1,-1,34
240,8,1,14,7,217,496,320,557,161,-1,-1,-1,-1,113,193,33,288,-1,-1,24
241,8,2,7,14,89,321,-1,-1,-1,-1,-1,-1,-1,369,217,159,6,-1,-1,61
242,24,1,11,3,467,170,360,582,19,-1,-1,-1,-1,310,148,7,-1,-1,-1,47
243,24,2,3,11,168,559,543,26,-1,-1,-1,-1,-1,32,513,324,-1,-1,-1,60
244,15,1,5,14,432,330,-1,-1,-1,-1,-1,-1,-1,369,159,217,-1,-1,-1,50
245,15,2,14,5,320,217,-1,-1,-1,-1,-1,-1,-1,196,462,580,-1,-1,-1,61
246,8,1,0,7,297,322,482,-1,-1,-1,-1,-1,-1,478,193,33,282,-1,-1,31
247,8,2,7,0,89,321,474,572,363,-1,-1,-1,-1,208,332,272,-1,-1,-1,45
248,9,1,8,3,509,500,50,-1,-1,-1,-1,-1,-1,148,310,382,453,-1,-1,67
249,9,2,3,8,543,559,26,-1,-1,-1,-1,-1,-1,588,485,134,244,-1,-1,56
250,15,1,11,14,360,316,151,-1,-1,-1,-1,-1,-1,369,159,407,217,-1,-1,31
251,15,2,14,11,320,217,-1,-1,-1,-1,-1,-1,-1,324,292,484,-1,-1,-1,59
252,9,1,3,0,128,559,543,-1,-1,-1,-1,-1,-1,208,394,236,272,-1,-1,52
253,9,2,0,3,377,322,446,-1,-1,-1,-1,-1,-1,148,555,382,395,-1,-1,56
254,1,1,1,5,28,566,183,14,-1,-1,-1,-1,-1,196,462,481,385,-1,-1,56
255,1,2,5,1,432,330,248,587,150,-1,-1,-1,-1,573,424,14,-1,-1,-1,27
256,24,1,11,7,316,360,166,19,-1,-1,-1,-1,-1,24,193,478,33,-1,-1,56
257,24,2,7,11,321,89,103,-1,-1,-1,-1,-1,-1,582,513,324,483,-1,-1,38
258,2,1,8,14,509,500,50,508,-1,-1,-1,-1,-1,369,159,217,407,-1,-1,45
259,2,2,14,8,320,217,-1,-1,-1,-1,-1,-1,-1,588,485,134,244,-1,-1,55
260,1,1,1,3,307,28,183,14,-1,-1,-1,-1,-1,7,148,577,453,-1,-1,47
261,1,2,3,1,128,559,26,-1,-1,-1,-1,-1,-1,573,424,386,416,-1,-1,48
262,16,1,5,0,432,196,248,-1,-1,-1,-1,-1,-1,208,332,394,272,-1,-1,38
263,16,2,0,5,377,322,-1,-1,-1,-1,-1,-1,-1,196,428,481,206,-1,-1,42
264,16,3,0,5,208,322,482,-1,-1,-1,-1,-1,-1,206,-1,-1,-1,-1,-1,9
265,16,4,5,0,150,587,196,-1,-1,-1,-1,-1,-1,293,-1,-1,-1,-1,-1,10
266,2,1,7,8,104,474,-1,-1,-1,-1,-1,-1,-1,485,588,399,134,-1,-1,41
267,2,2,8,7,448,500,-1,-1,-1,-1,-1,-1,-1,478,193,104,-1,-1,-1,57
268,15,1,14,0,320,217,398,-1,-1,-1,-1,-1,-1,208,464,272,-1,-1,-1,38
269,15,2,0,14,377,322,174,-1,-1,-1,-1,-1,-1,369,159,6,217,-1,-1,29
270,22,1,11,5,316,360,166,-1,-1,-1,-1,-1,-1,196,462,481,-1,-1,-1,53
271,22,2,5,11,432,248,330,-1,-1,-1,-1,-1,-1,324,513,484,-1,-1,-1,76
272,2,1,0,8,377,322,482,446,-1,-1,-1,-1,-1,399,588,187,134,-1,-1,51
273,2,2,8,0,448,500,-1,-1,-1,-1,-1,-1,-1,208,272,236,-1,-1,-1,63
274,15,1,3,14,128,559,26,249,-1,-1,-1,-1,-1,369,159,217,407,-1,-1,64
275,15,2,14,3,320,217,-1,-1,-1,-1,-1,-1,-1,148,555,382,-1,-1,-1,46
276,24,1,1,11,28,566,183,14,-1,-1,-1,-1,-1,457,19,483,513,-1,-1,55
